Instituição(IES);Sigla;Categoria Administrativa;Código Curso;Nome do Curso;Modalidade;CC;Data início funcionamento;Data Ato de Criação;Situação
Centro Universitário de Excelência Eniac;ENIAC;Privada com fins lucrativos;1486133;GESTÃO FINANCEIRA;A Distância;-;04/07/2019;03/06/2019;Em Atividade
FACULDADE UNINASSAU LAURO DE FREITAS;-;Privada com fins lucrativos;1139419;GESTÃO FINANCEIRA;Presencial;-;03/03/2015;18/08/2011;Extinto
Centro Universitário FG;UNIFG;Privada com fins lucrativos;1573589;GESTÃO FINANCEIRA;Presencial;-;27/04/2021;11/03/2021;Em Atividade
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1349996;GESTÃO FINANCEIRA;Presencial;-;28/09/2016;28/09/2016;Em Atividade
CENTRO UNIVERSITÁRIO INTA;UNINTA;Privada sem fins lucrativos;1404211;GESTÃO FINANCEIRA;A Distância;5;01/10/2017;12/07/2017;Em Atividade
Faculdade de Tecnologia e Ciências de Salvador;FTC Salvador;Privada com fins lucrativos;1280924;GESTÃO FINANCEIRA;Presencial;4;01/06/2015;01/06/2015;Em Atividade
FACULDADE SÃO SALVADOR;FSS;Privada com fins lucrativos;72107;GESTÃO FINANCEIRA;Presencial;4;09/08/2004;20/05/2004;Em Atividade
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1313402;GESTÃO FINANCEIRA;A Distância;-;28/04/2014;23/12/2013;Em Atividade
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1363803;GESTÃO FINANCEIRA;A Distância;-;Não iniciado;04/07/2016;Extinto
Faculdade Anhanguera de Salvador;FACDELTA;Privada com fins lucrativos;1300234;GESTÃO FINANCEIRA;Presencial;-;01/12/2015;30/11/2015;Extinto
CENTRO UNIVERSITÁRIO FAVENI;UNIFAVENI;Privada com fins lucrativos;1452033;GESTÃO FINANCEIRA;A Distância;-;15/08/2018;15/08/2018;Em Atividade
CENTRO UNIVERSITÁRIO DOM PEDRO II;UNIDOMPEDRO;Privada com fins lucrativos;1386608;GESTÃO FINANCEIRA;A Distância;-;04/09/2017;04/09/2017;Em Atividade
CENTRO UNIVERSITÁRIO CIDADE VERDE;UniCV;Privada com fins lucrativos;1465706;GESTÃO FINANCEIRA;A Distância;-;18/02/2019;04/01/2019;Em Atividade
CENTRO UNIVERSITÁRIO FACVEST;UNIFACVEST;Privada com fins lucrativos;1419964;GESTÃO FINANCEIRA;A Distância;4;01/02/2018;24/10/2017;Em Atividade
Faculdade Unyleya;-;Privada com fins lucrativos;1548737;GESTÃO FINANCEIRA;A Distância;5;25/02/2022;19/11/2021;Em Atividade
CENTRO UNIVERSITÁRIO SENAC;SENACSP;Privada sem fins lucrativos;1285814;GESTÃO FINANCEIRA;A Distância;5;10/02/2014;24/06/2013;Em Atividade
CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;Privada com fins lucrativos;1538804;GESTÃO FINANCEIRA;A Distância;-;03/07/2020;03/07/2020;Em Atividade
IPOG - INSTITUTO DE PÓS-GRADUAÇÃO & GRADUAÇÃO;IPOG;Privada com fins lucrativos;1536790;GESTÃO FINANCEIRA;A Distância;5;09/12/2021;24/09/2021;Em Atividade
FACULDADE DE GESTAO E NEGOCIOS DE SALVADOR;FGN;Privada com fins lucrativos;1136115;GESTÃO FINANCEIRA;Presencial;5;11/04/2016;26/08/2014;Em Atividade
Faculdade Única de Ipatinga;FUNIP;Privada com fins lucrativos;1454092;GESTÃO FINANCEIRA;A Distância;4;26/08/2019;12/07/2019;Em Atividade
Faculdade Metropolitana do Estado de São Paulo;FAMEESP;Privada com fins lucrativos;1545527;GESTÃO FINANCEIRA;A Distância;5;07/03/2022;24/09/2021;Em Atividade
Faculdade AGES de Senhor do Bonfim;Faculdade AGES;Privada com fins lucrativos;1501437;GESTÃO FINANCEIRA;Presencial;4;Não iniciado;06/10/2021;Em Atividade
Faculdade AGES de Jacobina;Faculdade AGES;Privada com fins lucrativos;1527308;GESTÃO FINANCEIRA;Presencial;4;Não iniciado;19/11/2021;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1484109;GESTÃO GLOBAL TRADING: NEGÓCIOS, LOGÍSTICA E FINANÇAS GLOBAIS;A Distância;-;05/04/2019;01/04/2019;Em Atividade
Claretiano - Centro Universitário;CLARETIANOBT;Privada sem fins lucrativos;1300415;GESTÃO HOSPITALAR;A Distância;-;Não iniciado;22/07/2014;Extinto
UNIVERSIDADE DE UBERABA;UNIUBE;Privada sem fins lucrativos;1485629;GESTÃO HOSPITALAR;A Distância;-;03/08/2019;10/05/2019;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1174577;GESTÃO HOSPITALAR;A Distância;4;09/09/2011;18/08/2011;Em Atividade
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1350029;GESTÃO HOSPITALAR;A Distância;4;01/02/2016;16/12/2015;Em Atividade
CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;-;Privada com fins lucrativos;1519056;GESTÃO HOSPITALAR;A Distância;-;06/04/2020;21/02/2020;Em Atividade
UNIVERSIDADE DO OESTE PAULISTA;UNOESTE;Privada sem fins lucrativos;1517770;GESTÃO HOSPITALAR;A Distância;-;03/02/2020;02/12/2019;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1150782;GESTÃO HOSPITALAR;A Distância;1;21/02/2011;04/12/2009;Em Atividade
UNIVERSIDADE BRASIL;UB;Privada sem fins lucrativos;1576232;GESTÃO HOSPITALAR;A Distância;-;Não iniciado;24/06/2021;Em Atividade
UNIVERSIDADE PAULISTA;UNIP;Privada com fins lucrativos;1286786;GESTÃO HOSPITALAR;A Distância;5;07/01/2014;19/09/2013;Em Atividade
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC MINAS;Privada sem fins lucrativos;1596351;GESTÃO HOSPITALAR;A Distância;-;Não iniciado;01/12/2021;Em Atividade
CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;FMU;Privada sem fins lucrativos;1410356;GESTÃO HOSPITALAR;A Distância;4;13/02/2017;04/01/2016;Em Atividade
UNIVERSIDADE SANTO AMARO;UNISA;Privada sem fins lucrativos;1466458;GESTÃO HOSPITALAR;A Distância;5;01/02/2018;26/09/2017;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;97885;GESTÃO HOSPITALAR;Presencial;-;26/06/2006;22/03/2006;Extinto
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1377505;GESTÃO HOSPITALAR;A Distância;4;10/10/2016;10/06/2016;Em Atividade
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;1365213;GESTÃO HOSPITALAR;Presencial;-;31/03/2017;31/03/2017;Extinto
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;1385322;GESTÃO HOSPITALAR;Presencial;-;25/03/2019;20/09/2017;Extinto
UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Privada com fins lucrativos;1343596;GESTÃO HOSPITALAR;A Distância;4;01/02/2016;26/10/2015;Em Atividade
UNIVERSIDADE DE MARÍLIA;UNIMAR;Privada com fins lucrativos;1484085;GESTÃO HOSPITALAR;A Distância;-;29/07/2019;13/05/2019;Em Atividade
UNIVERSIDADE PARANAENSE;UNIPAR;Privada sem fins lucrativos;1428313;GESTÃO HOSPITALAR;A Distância;-;19/02/2018;13/12/2017;Em Atividade
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1350243;GESTÃO HOSPITALAR;A Distância;5;01/02/2016;27/10/2015;Em Atividade
UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Privada sem fins lucrativos;1204353;GESTÃO HOSPITALAR;A Distância;-;01/02/2018;04/02/2013;Em Atividade
UNIVERSIDADE ANHANGUERA;UNIDERP;Privada com fins lucrativos;1107875;GESTÃO HOSPITALAR;A Distância;4;22/02/2010;17/08/2009;Em Atividade
UNIVERSIDADE SANTA CECÍLIA;UNISANTA;Privada sem fins lucrativos;1455388;GESTÃO HOSPITALAR;A Distância;-;01/02/2020;24/08/2018;Em Atividade
UNIVERSIDADE METROPOLITANA DE SANTOS;UNIMES;Privada sem fins lucrativos;1517706;GESTÃO HOSPITALAR;A Distância;-;Não iniciado;-;Em Atividade
Centro Universitário Estácio da Bahia;Estácio Bahia;Privada com fins lucrativos;101470;GESTÃO HOSPITALAR;Presencial;-;22/02/2007;04/09/2006;Extinto
CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;IESB;Privada com fins lucrativos;1458095;GESTÃO HOSPITALAR;A Distância;-;06/10/2018;28/09/2018;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1111686;GESTÃO HOSPITALAR;Presencial;-;05/02/2010;19/01/2010;Em Extinção
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1139914;GESTÃO HOSPITALAR;Presencial;3;22/02/2010;20/01/2010;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1159356;GESTÃO HOSPITALAR;Presencial;-;Não iniciado;09/05/2011;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1589530;GESTÃO HOSPITALAR;A Distância;-;09/08/2021;09/08/2021;Em Atividade
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;1342815;GESTÃO HOSPITALAR;A Distância;5;15/02/2016;03/09/2015;Em Atividade
CENTRO UNIVERSITÁRIO FAEL;UNIFAEL;Privada com fins lucrativos;1440096;GESTÃO HOSPITALAR;A Distância;4;02/03/2020;15/07/2019;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1328869;GESTÃO HOSPITALAR;A Distância;5;04/03/2015;27/02/2015;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1187030;GESTÃO HOSPITALAR;A Distância;4;10/09/2012;10/09/2012;Em Atividade
CENTRO UNIVERSITÁRIO UNIDOM - BOSCO;UNIDOM - BOSCO;Privada com fins lucrativos;1516566;GESTÃO HOSPITALAR;A Distância;-;02/03/2020;18/09/2019;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1315064;GESTÃO HOSPITALAR;A Distância;5;08/12/2014;19/06/2014;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1379282;GESTÃO HOSPITALAR;A Distância;5;09/02/2017;16/12/2015;Em Atividade
CENTRO UNIVERSITÁRIO SOCIAL DA BAHIA;UNISBA;Privada com fins lucrativos;1075645;GESTÃO HOSPITALAR;Presencial;-;02/02/2012;10/02/2010;Em Atividade
Centro Universitário Favip Wyden;UniFavip Wyden;Privada com fins lucrativos;1438528;GESTÃO HOSPITALAR;A Distância;-;19/02/2018;08/02/2018;Em Atividade
Centro Universitário UNIBTA;-;Privada com fins lucrativos;1520143;GESTÃO HOSPITALAR;A Distância;-;06/03/2020;-;Em Atividade
CENTRO UNIVERSITÁRIO SANTA CRUZ DE CURITIBA;UNI SANTA CRUZ;Privada sem fins lucrativos;1595661;GESTÃO HOSPITALAR;A Distância;-;Não iniciado;25/10/2021;Em Atividade
Centro Universitário de Excelência Eniac;ENIAC;Privada com fins lucrativos;1486134;GESTÃO HOSPITALAR;A Distância;-;04/07/2019;03/06/2019;Em Atividade
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1427541;GESTÃO HOSPITALAR;Presencial;-;06/12/2019;19/01/2018;Em Atividade
CENTRO UNIVERSITÁRIO DE SALVADOR;UNICEUSA;Privada com fins lucrativos;79523;GESTÃO HOSPITALAR;Presencial;-;03/06/2006;17/11/2004;Extinto
CENTRO UNIVERSITÁRIO INTA;UNINTA;Privada sem fins lucrativos;1404212;GESTÃO HOSPITALAR;A Distância;5;22/02/2018;12/07/2017;Em Atividade
FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA;FAESF/UNEF;Privada com fins lucrativos;1284623;GESTÃO HOSPITALAR;Presencial;-;01/12/2015;01/06/2015;Em Atividade
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1363804;GESTÃO HOSPITALAR;A Distância;5;04/07/2016;04/07/2016;Em Atividade
CENTRO UNIVERSITÁRIO FAVENI;UNIFAVENI;Privada com fins lucrativos;1452031;GESTÃO HOSPITALAR;A Distância;-;15/08/2018;15/08/2018;Em Atividade
CENTRO UNIVERSITÁRIO CIDADE VERDE;UniCV;Privada com fins lucrativos;1465707;GESTÃO HOSPITALAR;A Distância;-;18/02/2019;04/01/2019;Em Atividade
CENTRO UNIVERSITÁRIO FACVEST;UNIFACVEST;Privada com fins lucrativos;1586009;GESTÃO HOSPITALAR;A Distância;-;16/09/2021;16/09/2021;Em Atividade
CENTRO UNIVERSITÁRIO MAUÁ DE BRASÍLIA;UNIMAUÁ;Privada com fins lucrativos;1325894;GESTÃO HOSPITALAR;A Distância;4;24/09/2019;08/01/2020;Em Atividade
Faculdade Unyleya;-;Privada com fins lucrativos;5000946;GESTÃO HOSPITALAR;A Distância;4;08/02/2011;31/01/2011;Em Atividade
CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;Privada com fins lucrativos;1538962;GESTÃO HOSPITALAR;A Distância;-;03/07/2020;03/07/2020;Em Atividade
FACULDADE SUDOESTE;FASU;Privada com fins lucrativos;1333013;GESTÃO HOSPITALAR;Presencial;4;28/01/2019;06/08/2018;Em Atividade
FACULDADE SANAR;SANAR;Privada com fins lucrativos;1545443;GESTÃO HOSPITALAR;A Distância;5;Não iniciado;24/05/2022;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1382933;GESTãO LEGISLATIVA;A Distância;-;01/02/2018;24/09/2015;Extinto
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1575930;GESTÃO PORTUÁRIA;A Distância;-;02/08/2021;07/05/2021;Em Atividade
UNIVERSIDADE METROPOLITANA DE SANTOS;UNIMES;Privada sem fins lucrativos;1436286;GESTÃO PORTUÁRIA;A Distância;-;Não iniciado;16/05/2017;Em Extinção
Faculdade Multivix Serra;MULTIVIX SERRA;Privada com fins lucrativos;1441295;GESTÃO PORTUÁRIA;A Distância;5;03/03/2020;31/10/2019;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1483674;GESTÃO PORTUÁRIA;A Distância;-;22/07/2019;19/03/2019;Em Atividade
FACULDADE UNINASSAU LAURO DE FREITAS;-;Privada com fins lucrativos;1140016;GESTÃO PORTUÁRIA;Presencial;-;03/03/2015;04/08/2011;Extinto
CENTRO UNIVERSITÁRIO DOM PEDRO II;UNIDOMPEDRO;Privada com fins lucrativos;1259913;GESTÃO PORTUÁRIA;Presencial;5;28/11/2014;28/11/2014;Em Atividade
Claretiano - Centro Universitário;CLARETIANOBT;Privada sem fins lucrativos;123482;GESTÃO PÚBLICA;A Distância;4;01/02/2010;11/08/2009;Em Atividade
UNIVERSIDADE DE UBERABA;UNIUBE;Privada sem fins lucrativos;1382688;GESTÃO PÚBLICA;A Distância;5;18/02/2017;16/12/2016;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1175191;GESTÃO PÚBLICA;A Distância;4;09/08/2011;18/08/2011;Em Atividade
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1321295;GESTÃO PÚBLICA;A Distância;4;02/02/2015;29/10/2014;Em Atividade
CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;-;Privada com fins lucrativos;1519057;GESTÃO PÚBLICA;A Distância;-;06/04/2020;21/02/2020;Em Atividade
UNIVERSIDADE DO OESTE PAULISTA;UNOESTE;Privada sem fins lucrativos;1483794;GESTÃO PÚBLICA;A Distância;-;05/08/2019;05/05/2019;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1190157;GESTÃO PÚBLICA;A Distância;4;18/02/2013;-;Em Atividade
UNIVERSIDADE BRASIL;UB;Privada sem fins lucrativos;1488221;GESTÃO PÚBLICA;A Distância;-;05/09/2019;08/07/2019;Em Atividade
UNIVERSIDADE PAULISTA;UNIP;Privada com fins lucrativos;1286760;GESTÃO PÚBLICA;A Distância;4;07/01/2014;19/09/2013;Em Atividade
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC MINAS;Privada sem fins lucrativos;1599861;GESTÃO PÚBLICA;A Distância;-;Não iniciado;21/02/2022;Em Atividade
UNIVERSIDADE SANTO AMARO;UNISA;Privada sem fins lucrativos;1387444;GESTÃO PÚBLICA;A Distância;5;01/02/2016;05/10/2015;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1270316;GESTÃO PÚBLICA;A Distância;-;Não iniciado;21/11/2013;Extinto
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1377504;GESTÃO PÚBLICA;A Distância;-;10/10/2016;10/06/2016;Em Atividade
UNIVERSIDADE CATÓLICA DOM BOSCO;UCDB;Privada sem fins lucrativos;115948;GESTÃO PÚBLICA;A Distância;4;21/07/2008;26/05/2008;Em Atividade
UNIVERSIDADE TIRADENTES;UNIT;Privada com fins lucrativos;1108094;GESTÃO PÚBLICA;A Distância;-;10/12/2009;05/11/2009;Em Atividade
UNIVERSIDADE CATÓLICA DE BRASÍLIA;UCB;Privada sem fins lucrativos;1405021;GESTÃO PÚBLICA;A Distância;-;27/07/2017;25/05/2016;Em Atividade
UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Privada com fins lucrativos;1317671;GESTÃO PÚBLICA;A Distância;4;02/02/2015;09/10/2014;Em Atividade
UNIVERSIDADE DE MARÍLIA;UNIMAR;Privada com fins lucrativos;1484086;GESTÃO PÚBLICA;A Distância;5;29/07/2019;13/05/2019;Em Atividade
UNIVERSIDADE PARANAENSE;UNIPAR;Privada sem fins lucrativos;1322404;GESTÃO PÚBLICA;A Distância;5;23/02/2015;03/10/2014;Em Atividade
UNIVERSIDADE LUTERANA DO BRASIL;ULBRA;Privada sem fins lucrativos;120661;GESTÃO PÚBLICA;A Distância;4;16/03/2009;28/11/2007;Em Atividade
UNIVERSIDADE DO SUL DE SANTA CATARINA;UNISUL;Privada sem fins lucrativos;1164293;GESTÃO PÚBLICA;A Distância;4;31/07/2004;08/10/2003;Em Atividade
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1323006;GESTÃO PÚBLICA;A Distância;5;09/02/2015;09/10/2014;Em Atividade
Centro Universitário Anhanguera Pitágoras Unopar de Niterói;UNIAN-RJ;Privada com fins lucrativos;1563012;GESTÃO PÚBLICA;A Distância;-;10/08/2021;29/01/2021;Em Atividade
UNIVERSIDADE CATÓLICA DO SALVADOR;UCSAL;Privada sem fins lucrativos;1517269;GESTÃO PÚBLICA;A Distância;-;10/02/2020;11/12/2019;Em Atividade
UNIVERSIDADE FEDERAL DA BAHIA;UFBA;Pública Federal;1102487;GESTÃO PÚBLICA;Presencial;4;02/03/2009;19/08/2008;Em Atividade
CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO;UNICNEC;Privada sem fins lucrativos;1420093;GESTÃO PÚBLICA;A Distância;-;19/02/2018;05/10/2017;Em Atividade
UNIVERSIDADE LA SALLE;UNILASALLE;Privada sem fins lucrativos;1506809;GESTÃO PÚBLICA;A Distância;-;02/03/2020;24/10/2019;Em Atividade
UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Privada sem fins lucrativos;109088;GESTÃO PÚBLICA;Presencial;-;02/02/2011;03/05/2001;Em Atividade
UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Privada sem fins lucrativos;1204354;GESTÃO PÚBLICA;A Distância;-;01/02/2018;04/02/2013;Em Atividade
UNIVERSIDADE ANHANGUERA;UNIDERP;Privada com fins lucrativos;1107828;GESTÃO PÚBLICA;A Distância;4;05/07/2010;17/08/2009;Em Atividade
CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS;UNIGRAN;Privada sem fins lucrativos;1481784;GESTÃO PÚBLICA;A Distância;-;13/02/2019;12/02/2019;Em Atividade
UNIVERSIDADE SANTA CECÍLIA;UNISANTA;Privada sem fins lucrativos;1450868;GESTÃO PÚBLICA;A Distância;-;03/02/2020;03/08/2018;Em Atividade
UNIVERSIDADE METROPOLITANA DE SANTOS;UNIMES;Privada sem fins lucrativos;1268553;GESTÃO PÚBLICA;A Distância;4;01/08/2011;07/03/2011;Em Atividade
Centro Universitário Maurício de Nassau de Salvador;Uninassau Salvador;Privada sem fins lucrativos;95009;GESTÃO PÚBLICA;Presencial;-;18/02/2009;06/06/2006;Extinto
CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;IESB;Privada com fins lucrativos;1183705;GESTÃO PÚBLICA;A Distância;5;10/02/2014;03/02/2014;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1115127;GESTÃO PÚBLICA;Presencial;-;05/02/2010;06/06/2008;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1139912;GESTÃO PÚBLICA;Presencial;-;22/02/2010;20/01/2010;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1161854;GESTÃO PÚBLICA;Presencial;-;Não iniciado;09/05/2011;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1377584;GESTÃO PÚBLICA;A Distância;-;09/08/2021;09/08/2021;Em Atividade
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;1164570;GESTÃO PÚBLICA;A Distância;5;08/08/2011;24/09/2010;Em Atividade
CENTRO UNIVERSITÁRIO FAEL;UNIFAEL;Privada com fins lucrativos;1259995;GESTÃO PÚBLICA;A Distância;4;02/03/2015;28/11/2014;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1328955;GESTÃO PÚBLICA;A Distância;4;04/03/2015;27/02/2015;Em Atividade
FACULDADE BATISTA BRASILEIRA;FBB;Privada sem fins lucrativos;1181794;GESTÃO PÚBLICA;Presencial;-;Não iniciado;28/12/2012;Extinto
Faculdade Multivix Serra;MULTIVIX SERRA;Privada com fins lucrativos;1405208;GESTÃO PÚBLICA;A Distância;-;19/02/2018;27/11/2017;Em Atividade
CENTRO UNIVERSITÁRIO INGÁ;UNINGÁ;Privada com fins lucrativos;1517483;GESTÃO PÚBLICA;A Distância;-;04/10/2019;30/07/2019;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1170436;GESTÃO PÚBLICA;A Distância;5;23/07/2010;23/07/2010;Em Atividade
CENTRO UNIVERSITÁRIO UNIDOM - BOSCO;UNIDOM - BOSCO;Privada com fins lucrativos;1487587;GESTÃO PÚBLICA;A Distância;-;01/08/2019;04/07/2019;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;89855;GESTÃO PÚBLICA;A Distância;4;10/02/2006;08/12/2005;Em Atividade
CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ;UNIARAXÁ;Privada sem fins lucrativos;1445592;GESTÃO PÚBLICA;A Distância;-;19/05/2018;10/05/2018;Em Atividade
FACULDADE DE TECNOLOGIA E CIÊNCIAS DE JEQUIÉ;FTC;Privada com fins lucrativos;1261390;GESTÃO PÚBLICA;Presencial;-;04/08/2014;26/08/2014;Extinto
Centro Universitário Favip Wyden;UniFavip Wyden;Privada com fins lucrativos;1438526;GESTÃO PÚBLICA;A Distância;-;19/02/2018;08/02/2018;Em Atividade
FACULDADE AIEC;AIEC / FAAB;Privada com fins lucrativos;1353024;GESTÃO PÚBLICA;A Distância;-;Não iniciado;17/11/2016;Em Atividade
CENTRO UNIVERSITÁRIO DE LINS;UNILINS;Privada sem fins lucrativos;1485159;GESTÃO PÚBLICA;A Distância;4;03/06/2019;12/04/2019;Em Atividade
Centro Universitário UNIBTA;-;Privada com fins lucrativos;1445644;GESTÃO PÚBLICA;A Distância;-;06/03/2020;18/06/2018;Em Extinção
CENTRO UNIVERSITÁRIO SANTA CRUZ DE CURITIBA;UNI SANTA CRUZ;Privada sem fins lucrativos;1595455;GESTÃO PÚBLICA;A Distância;-;06/09/2021;06/09/2021;Em Atividade
Centro Universitário de Excelência Eniac;ENIAC;Privada com fins lucrativos;1486135;GESTÃO PÚBLICA;A Distância;-;04/07/2019;03/06/2019;Em Atividade
CENTRO UNIVERSITÁRIO DE SALVADOR;UNICEUSA;Privada com fins lucrativos;1516926;GESTÃO PÚBLICA;Presencial;-;Não iniciado;22/11/2019;Extinto
CENTRO UNIVERSITÁRIO INTA;UNINTA;Privada sem fins lucrativos;1404216;GESTÃO PÚBLICA;A Distância;-;01/10/2017;12/07/2017;Em Atividade
FACULDADE IBMEC SÃO PAULO;IBMEC SP;Privada com fins lucrativos;1290754;GESTÃO PÚBLICA;A Distância;-;Não iniciado;05/03/2018;Extinto
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1363805;GESTÃO PÚBLICA;A Distância;4;04/07/2016;04/07/2016;Em Atividade
CENTRO UNIVERSITÁRIO FAVENI;UNIFAVENI;Privada com fins lucrativos;1452032;GESTÃO PÚBLICA;A Distância;-;15/08/2018;15/08/2018;Em Atividade
FACULDADE UNIBRAS DA BAHIA;FACBRAS;Privada com fins lucrativos;1332361;GESTÃO PÚBLICA;Presencial;4;03/01/2017;02/12/2016;Em Atividade
CENTRO UNIVERSITÁRIO DOM PEDRO II;UNIDOMPEDRO;Privada com fins lucrativos;1332336;GESTÃO PÚBLICA;A Distância;4;07/08/2017;12/06/2017;Em Atividade
CENTRO UNIVERSITÁRIO CIDADE VERDE;UniCV;Privada com fins lucrativos;1465708;GESTÃO PÚBLICA;A Distância;-;18/02/2019;04/01/2019;Em Atividade
CENTRO UNIVERSITÁRIO FACVEST;UNIFACVEST;Privada com fins lucrativos;1375384;GESTÃO PÚBLICA;A Distância;-;14/12/2017;31/10/2016;Em Atividade
CENTRO UNIVERSITÁRIO MAUÁ DE BRASÍLIA;UNIMAUÁ;Privada com fins lucrativos;1596387;GESTÃO PÚBLICA;A Distância;-;13/12/2021;25/11/2021;Em Atividade
Faculdade Unyleya;-;Privada com fins lucrativos;5000943;GESTÃO PÚBLICA;A Distância;4;08/01/2011;25/10/2010;Em Atividade
CENTRO UNIVERSITÁRIO SENAC;SENACSP;Privada sem fins lucrativos;1321867;GESTÃO PÚBLICA;A Distância;5;09/02/2015;28/04/2014;Em Atividade
